configFile ./Integration/AlexaClientSDKConfig.json
Running app with log level: DEBUG9
2021-04-04 19:54:02.442 [  1] 9 PowerMonitor:createLocalPowerResource:identifier=Executor\:2
2021-04-04 19:54:02.442 [  1] 9 PowerMonitor:isActiveLocked:isActiveLocked=false
2021-04-04 19:54:02.443 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.443 [  1] 5 AVSGatewayManager:create
2021-04-04 19:54:02.444 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.444 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.444 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.444 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.444 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.444 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.445 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.446 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.447 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.447 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.447 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.447 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.449 [  1] 5 AVSGatewayManager:init:avsGateway=https\://alexa.na.gateway.devices.a2z.com
2021-04-04 19:54:02.453 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.453 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
